year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
1986,Soil Carbon,Cool temperate rain forest,4941546.41014093,69789.00250735159,70.8069499864307,"Modified Decay, Turnover and Spinup parameters"
1986,Soil Carbon,Cool temperate wet forest,100018054.01644489,1459666.8536397922,68.52115177312011,"Modified Decay, Turnover and Spinup parameters"
1986,Soil Carbon,Warm temperate moist forest,81452.17444027848,1205.3539609117215,67.57531570118093,"Modified Decay, Turnover and Spinup parameters"
1986,Total Biomass,Boreal rain forest,12464861.408229878,109148.48865778596,114.20095286258199,"Modified Decay, Turnover and Spinup parameters"
1986,Total Biomass,Boreal wet forest,12404077.742229756,108616.23682908775,114.20095286258258,"Modified Decay, Turnover and Spinup parameters"
1986,Total Biomass,Cool temperate moist forest,34655916.21880612,303464.33501748473,114.20095286258052,"Modified Decay, Turnover and Spinup parameters"
1986,Total Biomass,Cool temperate rain forest,7969970.585668685,69789.00250735159,114.20095286258214,"Modified Decay, Turnover and Spinup parameters"
1986,Total Biomass,Cool temperate wet forest,166695345.54760578,1459666.8536397922,114.20095286259193,"Modified Decay, Turnover and Spinup parameters"
1986,Total Biomass,Warm temperate moist forest,137652.57087280613,1205.3539609117215,114.2009528625821,"Modified Decay, Turnover and Spinup parameters"
1987,Deadwood,Boreal rain forest,1894561.3242995497,109148.48865778596,17.357650551072506,"Modified Decay, Turnover and Spinup parameters"
1987,Deadwood,Boreal wet forest,1561953.5568884062,108616.23682908775,14.380479406096589,"Modified Decay, Turnover and Spinup parameters"
1987,Deadwood,Cool temperate moist forest,4591039.286671093,303464.33501748473,15.128760638071588,"Modified Decay, Turnover and Spinup parameters"
1987,Deadwood,Cool temperate rain forest,1208081.1803277438,69789.00250735159,17.31048069071462,"Modified Decay, Turnover and Spinup parameters"
1987,Deadwood,Cool temperate wet forest,21512446.63883606,1459666.8536397922,14.737915425833718,"Modified Decay, Turnover and Spinup parameters"
1987,Deadwood,Warm temperate moist forest,16059.136239088579,1205.3539609117215,13.323170421194416,"Modified Decay, Turnover and Spinup parameters"
1987,Litter,Boreal rain forest,3394100.4201562116,109148.48865778596,31.096174229198528,"Modified Decay, Turnover and Spinup parameters"
1987,Litter,Boreal wet forest,2984372.4556887904,108616.23682908775,27.47630135984942,"Modified Decay, Turnover and Spinup parameters"
1987,Litter,Cool temperate moist forest,8559577.281534774,303464.33501748473,28.20620512470303,"Modified Decay, Turnover and Spinup parameters"
1987,Litter,Cool temperate rain forest,2165457.5847948636,69789.00250735159,31.02863641827742,"Modified Decay, Turnover and Spinup parameters"
1987,Litter,Cool temperate wet forest,40317718.72649153,1459666.8536397922,27.621178507928835,"Modified Decay, Turnover and Spinup parameters"
1987,Litter,Warm temperate moist forest,31320.0422302126,1205.3539609117215,25.98410362921306,"Modified Decay, Turnover and Spinup parameters"
1987,Soil Carbon,Boreal rain forest,7738311.1166274855,109148.48865778596,70.89709818052972,"Modified Decay, Turnover and Spinup parameters"
1987,Soil Carbon,Boreal wet forest,7458588.231864034,108616.23682908775,68.66918289206096,"Modified Decay, Turnover and Spinup parameters"
1987,Soil Carbon,Cool temperate moist forest,20935884.586193282,303464.33501748473,68.98960493985896,"Modified Decay, Turnover and Spinup parameters"
1987,Soil Carbon,Cool temperate rain forest,4944036.391394704,69789.00250735159,70.8426286917326,"Modified Decay, Turnover and Spinup parameters"
1987,Soil Carbon,Cool temperate wet forest,100066168.99325354,1459666.8536397922,68.554114758262,"Modified Decay, Turnover and Spinup parameters"
1987,Soil Carbon,Warm temperate moist forest,81490.52796346004,1205.3539609117215,67.6071350044108,"Modified Decay, Turnover and Spinup parameters"
1987,Total Biomass,Boreal rain forest,12556579.688346943,109148.48865778596,115.04126023875308,"Modified Decay, Turnover and Spinup parameters"
